fwd_byte_count,fwd_packet_count,fwd_bytes_rate,fwd_packet_rate,fwd_avg_packet_rate,fwd_avg_bytes_rate,rev_byte_count,rev_packet_count,rev_bytes_rate,rev_packet_rate,rev_avg_packet_rate,rev_avg_bytes_rate,type
88351,1002,7573.8,85.9,91.1,8031.9,66132,1002,5669.4,85.9,91.1,6012.0,1
66,1,0.0,0.0,0.1,6.6,67,1,-29.1,-0.4,0.1,6.7,1
66,1,0.0,0.0,0.2,11.0,67,1,0.0,0.0,0.2,11.2,1
59461,675,-99313.1,-1126.7,112.5,9910.2,44550,675,-74355.6,-1126.6,112.5,7425.0,1
231164,2623,8506.6,96.6,93.7,8255.9,173118,2623,6375.6,96.6,93.7,6182.8,1
169586,1924,8123.5,92.2,91.6,8075.5,126984,1924,6085.2,92.2,91.6,6046.9,1
129884,1475,7042.3,80.0,92.2,8117.8,97350,1475,5280.0,80.0,92.2,6084.4,1
255729,2902,2456.5,27.9,76.4,6729.7,191532,2902,1841.4,27.9,76.4,5040.3,1
203823,2312,3423.7,38.8,74.6,6574.9,152592,2312,2560.8,38.8,74.6,4922.3,1
298429,3387,4270.0,48.5,70.6,6217.3,223542,3387,3201.0,48.5,70.6,4657.1,1
258532,2933,5470.9,62.1,71.5,6305.7,193578,2933,4098.6,62.1,71.5,4721.4,1
47368,537,-8251.6,-93.8,67.1,5921.0,35442,537,-6190.8,-93.8,67.1,4430.2,1
388942,4414,9051.3,102.7,76.1,6705.9,291324,4414,6778.2,102.7,76.1,5022.8,1
308125,3496,4959.3,56.3,68.5,6041.7,230736,3496,3715.8,56.3,68.5,4524.2,1
130934,1484,8356.6,94.7,82.4,7274.1,97944,1484,6250.2,94.7,82.4,5441.3,1
439599,4990,5065.7,57.6,73.4,6464.7,329340,4990,3801.6,57.6,73.4,4843.2,1
365624,4148,5749.9,65.2,68.0,5993.8,273768,4148,4303.2,65.2,68.0,4488.0,1
217240,2463,8630.6,97.9,88.0,7758.6,162558,2463,6461.4,97.9,88.0,5805.6,1
66,1,0.0,0.0,0.1,8.2,67,1,0.0,0.0,0.1,8.4,1
498753,5662,5915.4,67.2,72.6,6394.3,373692,5662,4435.2,67.2,72.6,4790.9,1
444306,5041,7868.2,89.3,71.0,6257.8,332706,5041,5893.8,89.3,71.0,4686.0,1
